,SALARY,SALARY,SALARY
,sum,mean,median
TEAM,,,
ARI,90730499,3240374.964285714,1300000.0
ATL,137339527,4577984.233333333,1250000.0
BAL,161684185,5774435.178571428,3462500.0
BOS,174287098,5622164.451612903,1950000.0
CHC,170088502,6541865.461538462,2750000.0
CIN,82375785,2657283.3870967743,567000.0
CLE,115991166,4142541.6428571427,2950000.0
COL,101513571,3172299.09375,545000.0
CWS,109591167,3913970.25,875000.0
DET,180250600,6932715.384615385,1650000.0
HOU,127443900,4720144.444444444,3725000.0
KC,132091916,4717568.428571428,4000000.0
LAA,143965833,4798861.1,2250000.0
LAD,187989811,6064187.451612903,2600000.0
MIA,115348302,4119582.214285714,2762500.0
MIL,61020089,2346926.5,545950.0
MIN,100787500,3475431.0344827585,600000.0
NYM,176284679,5686602.548387097,2200000.0
NYY,170389199,6310711.074074074,2290000.0
OAK,70601667,2353388.9,560000.0
PHI,87418378,3362245.3076923075,562500.0
PIT,94637833,3639916.653846154,2962500.0
SD,34574400,1115303.2258064516,545800.0
SEA,155207720,5006700.645161291,1325000.0
SF,176531278,6304688.5,2000000.0
STL,146630000,4887666.666666667,2762500.0
TB,69982520,2186953.75,1325000.0
TEX,178431396,5247982.235294118,1850000.0
TOR,162353367,5598391.9655172415,2887500.0
WSH,162742157,6259313.730769231,4000000.0
